<b>Obj_window.asp method</b>: window.blur() | <b>Obj_window.asp method</b> that removes focus from the current window. | window.blur() |  | const myWindow = window.open("", "", "width=200, height=100");<br/> myWindow.blur(); |  
<b>Obj_window.asp method</b>: window.btoa(<em>string</em>) | <b>Obj_window.asp method</b> that encodes a string in base-64. | window.btoa(<em>string</em>) |  | let text = "Hello World!";<br/> let encoded = window.btoa(text); |  
<b>Obj_window.asp method</b>: clearInterval(<i>intervalId</i>) | <b>Obj_window.asp method</b> that clears a timer set with setinterval(). | clearInterval(<i>intervalId</i>) |  | const myInterval = setInterval(myTimer, 1000);<br/><br/> function myTimer() {<br/>   const date = new Date();<br/>   document.getElementById("demo").innerHTML = date.toLocaleTimeString();<br/> }<br/><br/> function myStopFunction() { <br/>  clearInterval(myInterval);<br/>} |  
<b>Obj_window.asp method</b>: clearTimeout(<i>id_of_settimeout</i>) | <b>Obj_window.asp method</b> that clears a timer set with settimeout(). | clearTimeout(<i>id_of_settimeout</i>) |  | const myTimeout = setTimeout(myGreeting, 3000);<br/> <br/> function myGreeting() {<br/>   document.getElementById("demo").innerHTML = "Happy Birthday to You !!"<br/> }<br/> <br/> function myStopFunction() {<br/>   clearTimeout(myTimeout);<br/> } |  
<b>Obj_window.asp method</b>: window.close() | <b>Obj_window.asp method</b> that closes the current window. | window.close() |  | let myWindow;<br/> <br/> function openWin() {<br/>   myWindow = window.open("", "myWindow", "width=200, height=100");<br/> }<br/> <br/> function closeWin() {<br/>   myWindow.close();<br/> } |  
<b>Obj_window.asp method</b>: confirm(<em>message</em>) | <b>Obj_window.asp method</b> that displays a dialog box with a message and an ok and a cancel button. | confirm(<em>message</em>) |  | confirm("Press a button!");<br/> |  
<b>Obj_window.asp method</b>: window.focus() | <b>Obj_window.asp method</b> that sets focus to the current window. | window.focus() |  | const myWindow = window.open("", "", "width=200, height=100"); myWindow.focus(); |  
<b>Obj_window.asp method</b>: <i>window</i>.getComputedStyle(<em>element, pseudoElement</em>) | <b>Obj_window.asp method</b> that gets the current computed css styles applied to an element. | <i>window</i>.getComputedStyle(<em>element, pseudoElement</em>) |  | const element = document.getElementById("test");<br/> const cssObj = window.getComputedStyle(element, null);<br/> <br/> let bgColor = cssObj.getPropertyValue("background-color"); |  
<b>Obj_window.asp method</b>: <i>window</i>.matchMedia(<em>mediaQuery</em>) | <b>Obj_window.asp method</b> that returns a mediaquerylist object representing the specified css media query string. | <i>window</i>.matchMedia(<em>mediaQuery</em>) |  | if (window.matchMedia("(max-width: 700px)").matches) {<br/>   // Viewport is less or equal to 700 pixels wide<br/> } else {<br/>   // Viewport is greater than 700 pixels wide<br/> } |  
<b>Obj_window.asp method</b>: window.moveBy(<em>x, y</em>) | <b>Obj_window.asp method</b> that moves a window relative to its current position. | window.moveBy(<em>x, y</em>) |  | function openWin() {<br/>   myWindow = window.open('', '', 'width=400, height=400');<br/> }<br/> <br/> function moveWin() {<br/>   myWindow.moveBy(250, 250);<br/> } |  
<b>Obj_window.asp method</b>: window.moveTo(<em>x, y</em>) | <b>Obj_window.asp method</b> that moves a window to the specified position. | window.moveTo(<em>x, y</em>) |  | function openWin() {<br/>   myWindow = window.open('', '', 'width=400, height=200');<br/> }<br/> <br/> function moveWin() {<br/>   myWindow.moveTo(500, 100);<br/> } |  
<b>Obj_window.asp method</b>: window.open(<i>URL, name, specs, replace</i>) | <b>Obj_window.asp method</b> that opens a new browser window. | window.open(<i>URL, name, specs, replace</i>) |  | window.open("https://www.w3schools.com"); |  
<b>Obj_window.asp method</b>: window.print() | <b>Obj_window.asp method</b> that prints the content of the current window. | window.print() |  | window.print();<br/> |  
<b>Obj_window.asp method</b>: prompt(<i>text, defaultText</i>) | <b>Obj_window.asp method</b> that displays a dialog box that prompts the visitor for input. | prompt(<i>text, defaultText</i>) |  | let person = prompt("Please enter your name", "Harry Potter");<br/><br/>if (person != null) {<br/>  document.getElementById("demo").innerHTML =<br/>  "Hello " + person + "! How are you today?";<br/>} |  
<b>Obj_window.asp method</b>: resizeBy(<i>width, height</i>) | <b>Obj_window.asp method</b> that resizes the window by the specified pixels. | resizeBy(<i>width, height</i>) |  | function openWin() {<br/>   myWindow = window.open("", "", "width=100, height=100");<br/> }<br/><br/> function resizeWin() {<br/>   myWindow.resizeBy(250, 250);<br/> }<br/> |  
<b>Obj_window.asp method</b>: <em>window</em>.resizeTo(<i>width, height</i>) | <b>Obj_window.asp method</b> that resizes the window to the specified width and height. | <em>window</em>.resizeTo(<i>width, height</i>) |  | function openWin() {<br/>   myWindow = window.open("", "", "width=200, height=100");<br/> }<br/> <br/> function resizeWin() {<br/>   myWindow.resizeTo(300, 300);<br/> } |  
<b>Obj_window.asp method</b>: scroll() | <b>Obj_window.asp method</b> that deprecated. this method has been replaced by the scrollto() method.. |  |  | window.scrollTo(500, 0); |  
<b>Obj_window.asp method</b>: scrollby() | <b>Obj_window.asp method</b> that scrolls the document by the specified number of pixels. |  |  | window.scrollBy(100, 0); |  
<b>Obj_window.asp method</b>: scrollto() | <b>Obj_window.asp method</b> that scrolls the document to the specified coordinates. |  |  | window.scrollTo(500, 0); |  
<b>Obj_window.asp method</b>: setInterval(<em>function, milliseconds, param1, param2, ...</em>) | <b>Obj_window.asp method</b> that calls a function or evaluates an expression at specified intervals (in milliseconds). | setInterval(<em>function, milliseconds, param1, param2, ...</em>) |  | setInterval(function () {element.innerHTML += "Hello"}, 1000); |  
<b>Obj_window.asp method</b>: setTimeout(<em>function, milliseconds, param1, param2, ...</em>) | <b>Obj_window.asp method</b> that calls a function or evaluates an expression after a specified number of milliseconds. | setTimeout(<em>function, milliseconds, param1, param2, ...</em>) |  | const myTimeout = setTimeout(myGreeting, 5000);<br/> |  
<b>Obj_window.asp method</b>: window.stop() | <b>Obj_window.asp method</b> that stops the window from loading. | window.stop() |  | window.stop();<br/> |  
